CameraName,DeploymentFolder,Image#,Species,# of Individuals,CorrectedSpecies,Corrected# of Individuals,HasMultipleSpecies,SecondarySpecies,Secondary# of Individuals,Date,Time,CorrectedDate,CorrectedTime,has_animal,model_certainty,Notes
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0296,coyote,1,,,,,,2020-09-16,9:10:14,,,1,0.9067,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0297,coyote,1,,,,,,2020-09-16,9:10:17,,,1,0.6802,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0298,squirrel,1,,,,,,2020-09-16,12:29:35,,,1,0.8703,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0301,squirrel,1,,,,,,2020-09-16,14:02:11,,,1,0.8977,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0302,squirrel,1,,,,,,2020-09-16,14:02:13,,,1,0.9461,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0303,squirrel,1,,,,,,2020-09-16,14:02:15,,,1,0.9769,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0304,squirrel,1,,,,,,2020-09-16,14:03:55,,,1,0.9409,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0308,squirrel,1,,,,,,2020-09-16,16:05:17,,,1,0.9677,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0309,squirrel,1,,,,,,2020-09-16,16:05:19,,,1,0.8167,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0310,opossum,1,,,,,,2020-09-17,1:57:53,,,1,0.9952,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0311,opossum,1,,,,,,2020-09-17,1:57:55,,,1,0.9936,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0313,coyote,1,,,,,,2020-09-17,7:38:49,,,1,0.9626,
BonitaCanyon1,2020_08_04_BonitaCanyon1,IMG_0314,coyote,1,,,,,,2020-09-17,7:38:51,,,1,0.6578,
